	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words
2573	713_0	besides bad service 's less money tip	service	27--34	-1	's bad tip service
565	3535_2	the decor dark cool soothing food 's presentation spectacular consider low price	food 's presentation	48--67	1	's consider spectacular food soothing presentation
142	856_3	an oasis refinement food though somewhat uneven often reach pinnacle new american fine cuisine chef 's passion kitchen 's precise execution evident fish dish soup	kitchen	134--141	1	's execution passion kitchen
2297	2366_0	one u actually like expresso 's	expresso	29--37	1	's expresso u like
1749	1343_3	fluke sashimi drizzle jalapeno lime olive oil fruit oil nicely highlight fish 's sweetness	fish	98--102	1	's fish sweetness
3268	2321_0	it 's nice place relax conversation	place	12--17	1	's nice place it relax
2988	704_0	try pad thai 's fabulous price cheap	pad thai	8--16	1	's price pad thai
1144	1949_1	if 's quick martini bar i recommend jeffery 's mind blow roast chicken go village	bar	36--39	0	's recommend quick bar martini if
751	2817_0	it 's also attach angel 's share cool romantic bar	bar	68--71	1	's romantic angel share it also bar
591	3230_0	the seafood amazing 's good wine list ever changing menu always offer great surprise	seafood	4--11	1	's seafood list the amazing
1685	1381_0	tried pad see ew recommendation last reviewer since 's one favorite dish	pad see ew	10--20	0	's tried see pad reviewer ew
3026	314_0	all i say $ 2 pint happy hour cheap oyster 'll find city though quality best	oyster	73--80	1	$ cheap pint find oyster happy
601	2001_1	$ 200 2 glass champagne not expensive bottle wine 2 dinner drink	bottle wine	52--66	-1	$ drink glass bottle champagne expensive wine
2287	365_5	food deliver busboy not waiter we get no cheese offer pasta water wine glass remain empty entire meal would easily spend another $ 20 wine	water wine glass	89--111	-1	$ water glass remain another spend wine
1847	1173_0	at 5 dumpling $ 1 not go wrong	dumpling	5--14	1	1 go 5 dumpling
2660	3432_3	had 1 appetizer 2 entree 2 coke bill $ 55 00 not include tip	bill	47--51	0	1 include bill appetizer
999	605_0	wow 100 beer choose	beer	13--18	1	100 beer choose
1811	1081_1	only complaint would average cost $ 12 $ 15 per meal i 'd like not worry find seat	meal	63--67	0	15 meal per
842	3280_1	example soup 6 oz $ 12 dollar mushroom $ 12 1oz	mushroom	65--74	1	1oz mushroom
2067	1964_3	$ 160 2 filet 2 side appetizer drink	drink	45--51	0	2 appetizer drink side filet
1880	39_1	when finally seat waitress come twice 1 order 2 for check	check	85--90	0	2 check for
2657	3432_0	had 1 appetizer 2 entree 2 coke bill $ 55 00 not include tip	appetizer	6--15	0	2 coke bill appetizer
2659	3432_2	had 1 appetizer 2 entree 2 coke bill $ 55 00 not include tip	coke	33--38	0	2 coke entree appetizer
602	2001_2	$ 200 2 glass champagne not expensive bottle wine 2 dinner drink	dinner drink	73--92	-1	2 dinner drink bottle
431	38_1	the man host promise save table party 7 sit party 2 table save mean open around	table	44--49	0	2 party sit open table
