	example_id	 text	 aspect_term	 term_location	 class	asp_dep_words
0	3121_0	but the staff wa so horribl to us	staff	8--13	-1	wa staff
1	2777_0	to be complet fair the onli redeem factor wa the food which wa abov averag but couldn t make up for all the other defici of teodora	food	57--61	1	food the wa fair
2	1634_0	the food is uniformli except with a veri capabl kitchen which will proudli whip up whatev you feel like eat whether it s on the menu or not	food	4--8	1	food the uniformli
3	1634_1	the food is uniformli except with a veri capabl kitchen which will proudli whip up whatev you feel like eat whether it s on the menu or not	kitchen	55--62	1	a uniformli except capabl veri with whip kitchen
4	1634_2	the food is uniformli except with a veri capabl kitchen which will proudli whip up whatev you feel like eat whether it s on the menu or not	menu	141--145	0	on whether menu it or s not the eat
5	2846_0	not onli wa the food outstand but the littl perk were great	food	17--21	1	food the outstand
6	2846_1	not onli wa the food outstand but the littl perk were great	perk	51--56	1	perk great the littl
7	1458_0	our agre favorit is the orrechiet with sausag and chicken usual the waiter are kind enough to split the dish in half so you get to sampl both meat	orrechiet with sausag and chicken	27--62	1	and kind sausag is favorit orrechiet the with chicken
8	1458_1	our agre favorit is the orrechiet with sausag and chicken usual the waiter are kind enough to split the dish in half so you get to sampl both meat	waiter	76--83	1	waiter kind the usual
9	1458_2	our agre favorit is the orrechiet with sausag and chicken usual the waiter are kind enough to split the dish in half so you get to sampl both meat	meat	152--157	0	both sampl meat
10	1458_3	our agre favorit is the orrechiet with sausag and chicken usual the waiter are kind enough to split the dish in half so you get to sampl both meat	dish	113--117	0	dish the split
11	3161_0	the bagel have an outstand tast with a terrif textur both chewi yet not gummi	bagel	4--10	1	bagel the have
12	2391_0	nevertheless the food itself is pretti good	food	17--21	1	food nevertheless the good
13	296_0	they did not have mayonnais forgot our toast left out ingredi ie chees in an omelet below hot temperatur and the bacon wa so over cook it crumbl on the plate when you touch it	toast	41--46	-1	toast our left
14	296_1	they did not have mayonnais forgot our toast left out ingredi ie chees in an omelet below hot temperatur and the bacon wa so over cook it crumbl on the plate when you touch it	mayonnais	18--28	-1	mayonnais forgot
15	296_2	they did not have mayonnais forgot our toast left out ingredi ie chees in an omelet below hot temperatur and the bacon wa so over cook it crumbl on the plate when you touch it	bacon	126--131	-1	bacon wa
16	296_3	they did not have mayonnais forgot our toast left out ingredi ie chees in an omelet below hot temperatur and the bacon wa so over cook it crumbl on the plate when you touch it	chees	73--79	0	ingredi chees ie left
